Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput,Effective Delay
0,69713,198,0.7122837488080643,0.8282373481857455,199.18739445852063
1,56629,198,0.7014645637034003,0.8293161513071954,199.48895018025402
2,86799,198,0.706960343417825,0.82877734278647,200.14035371218318
3,42653,198,0.6968954248366013,0.8298667959440708,199.82005246732024
4,82842,198,0.7014987027174655,0.829157166421704,199.70654165779047
5,72958,198,0.69820197884681,0.8288999126408654,200.0274706380075
6,23256,198,0.7014576962283384,0.82854726707888,200.3724740795107
7,14590,198,0.6958674583674584,0.8291826379808057,199.45075239148244
8,98472,198,0.6987949346405229,0.8294653607621392,199.292543251634
9,8288,198,0.6898423100552938,0.829661729312324,200.59841207113115
10,42653,198ms,0.6968954248366013,0.8298667959440708,199.82005246732024
11,42653,203ms,0.6813623366013073,0.8289773654224154,204.82004702614378
12,42653,208ms,0.6758544389978214,0.8279771572182767,209.82003129084967
13,42653,213ms,0.6586669389978212,0.8273324079128995,214.8200261111111
14,42653,218ms,0.656052559912854,0.8241148652057013,219.8199913235294
15,42653,223ms,0.6454486655773419,0.8249668060612164,224.82001093137254
16,42653,228ms,0.6336805555555556,0.8240009711232834,229.82000091503267
17,42653,233ms,0.633047385620915,0.8220333860170194,234.81996761437907
18,42653,238ms,0.6108251633986929,0.8218535387882443,239.8199689379085
19,42653,243ms,0.5994383169934642,0.8213856013165347,244.81995681372547
