Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput,Effective Delay
0,69713,198,0.6158919664650324,0.8489015863278008,199.29927914997958
1,56629,198,0.6104200323101777,0.8488280820253816,199.6012578574355
2,86799,198,0.6091715022566087,0.8483691764365501,200.25189650858547
3,42653,198,0.6202584814216479,0.8485528027894474,199.93108921568626
4,82842,198,0.6125402446877012,0.8486863408945722,199.81759127679908
5,72958,198,0.6241028966709901,0.8488826068088827,200.13851248857043
6,23256,198,0.60594398118452,0.8488785070908568,200.48471942915393
7,14590,198,0.6104398516163223,0.8487605720778798,199.5627716543817
8,98472,198,0.611376673040153,0.848714735310541,199.40440892156863
9,8288,198,0.618351149983803,0.8488296806332586,200.70961143217968
10,42653,198ms,0.6202584814216479,0.8485528027894474,199.93108921568626
11,42653,203ms,0.6146072326013329,0.8490336258917761,204.93105697712417
12,42653,208ms,0.6223373440285205,0.8488031737221374,209.92904529411763
13,42653,213ms,0.62157666894509,0.8485683930937206,214.928730996732
14,42653,218ms,0.6226856679411424,0.8488274408321784,219.92810522875817
15,42653,223ms,0.6179732765756178,0.8480699199786501,224.92730395424834
16,42653,228ms,0.6371400321344705,0.8485341798689169,229.92596230392155
17,42653,233ms,0.613175349734684,0.8487293957190143,234.92654183006536
18,42653,238ms,0.6463313161875945,0.8487647958543139,239.92355197712416
19,42653,243ms,0.625692582663092,0.848886820894074,244.92410699346405
