Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput,Effective Delay
0,69713,198,0.6521182400217954,0.8335169991130384,199.20888616264816
1,56629,198,0.649242113887751,0.8327248390080881,199.51058433019256
2,86799,198,0.6483442354865085,0.8323182755678586,200.1624324529845
3,42653,198,0.6417585784313726,0.8315309149140906,199.84188944444443
4,82842,198,0.6503516318448723,0.8323391272050523,199.7261468851563
5,72958,198,0.6452507676560901,0.8336250277028081,200.04917618560216
6,23256,198,0.6490655793408088,0.8321272836977163,200.3942140509684
7,14590,198,0.6464544089544091,0.8325871523247945,199.47211714168716
8,98472,198,0.6482264433551199,0.8317782651951013,199.31403795751635
9,8288,198,0.6434739572667075,0.8322059641497896,200.61950580858763
10,42653,198ms,0.6417585784313726,0.8315309149140906,199.84188944444443
11,42653,203ms,0.640662445533769,0.8318042180698423,204.84147292483658
12,42653,208ms,0.6185661764705882,0.831016284239144,209.84161508169933
13,42653,213ms,0.6145424836601308,0.828578825894104,214.8400625
14,42653,218ms,0.6048747276688453,0.8298644385178807,219.84190990196078
15,42653,223ms,0.5862813180827887,0.8278662922460714,224.84143098039215
16,42653,228ms,0.5792041122004358,0.8292013489046323,229.84099411764706
17,42653,233ms,0.582046568627451,0.8263987231677845,234.84014261437906
18,42653,238ms,0.5907475490196079,0.8198096368347944,239.84085429738562
19,42653,243ms,0.5565972222222222,0.8255775999379129,244.8391752124183
