Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.6998842119602234,0.7895469339654883,498.22140565083333,393.3511431376139,199.18760547609318,5.171420598111095e-07,0.0008054760931753167
1,56629,200,0.70179912604124,0.7895682797547969,497.0750095158333,392.47824376424154,199.48916338795578,5.203405496155371e-07,0.0008133879557558377
2,86799,200,0.7070591441809757,0.7884928713644023,497.8461904616667,392.5382151285807,200.14054128372857,5.181840429674949e-07,0.000791283728536386
3,42653,200,0.6992272603485838,0.7887468216088848,498.26683882500004,392.95703048706054,199.82024091503266,5.106233457240227e-07,0.0007909150326797386
4,82842,200,0.7081284992489417,0.7892562956950621,497.08154468333333,392.316370900472,199.70673580772902,5.230621280846775e-07,0.000802474395739451
5,72958,200,0.6936472193790515,0.7908571939803763,498.03031321333333,393.85064188639325,200.0276866953258,4.994290268163642e-07,0.000820028659160696
6,23256,200,0.6992320761128101,0.7906529868725135,498.2455261166667,393.9171318054199,200.3726839551478,5.17755338799386e-07,0.0008172884811416921
7,14590,200,0.6941100191100191,0.7889160760359518,497.24981293583335,392.2547607421875,199.45095665028668,5.269126942469006e-07,0.0008066502866502867
8,98472,200,0.7010382625272331,0.7884910871606514,498.18465630833333,392.85228017171227,199.29273225490195,5.1838576509276e-07,0.000798921568627451
9,8288,200,0.6902450679227251,0.7898874645731833,497.15726339166673,392.7560208638509,200.59862548092022,5.067372997212208e-07,0.0008088142535326644
10,42653,200,0.6992272603485838,0.7887468216088848,498.26683882500004,392.95703048706054,199.82024091503266,5.106233457240227e-07,0.0007909150326797386
11,42653,205,0.6805555555555556,0.7887974920379069,498.216485625,392.9762316385905,204.8202305882353,5.046610918902538e-07,0.0007805882352941177
12,42653,210,0.674771922657952,0.7872795113332253,498.247996825,392.258975982666,209.82021777777777,5.013120551949106e-07,0.0007677777777777777
13,42653,215,0.6651722494553377,0.787360046465667,498.11450840833334,392.16710255940757,214.8202201633987,4.868666399699735e-07,0.0007701633986928104
14,42653,220,0.6552968409586057,0.7855074656068157,498.067745325,391.200269317627,219.8201952124183,4.80913353573703e-07,0.0007452124183006536
15,42653,225,0.6503744553376907,0.7852588173835962,498.1633994083333,391.15232340494794,224.8201908006536,4.7414118902141835e-07,0.0007408006535947712
16,42653,230,0.6295989923747277,0.7851391783436728,498.32351949166673,391.17737604777017,229.8201895751634,4.604324992548766e-07,0.0007395751633986928
17,42653,235,0.633517156862745,0.7815634759342404,498.29193599166666,389.418878809611,234.8201477614379,4.673080607375708e-07,0.0006977614379084968
18,42653,240,0.6168300653594772,0.7825599459484579,498.1722375583333,389.8147743225098,239.8201555718954,4.457669931993135e-07,0.0007055718954248366
19,42653,245,0.6102873093681918,0.780806935205425,498.230246575,389.00076624552406,244.8201324509804,4.4985804498501846e-07,0.0006824509803921569
