Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.6521182400217954,0.7949037543421158,498.23003123416663,396.01223017374673,199.20896616264815,0.0022248939860512467,0.02216616264814058
1,56629,200,0.649242113887751,0.794148291595543,497.1051555991666,394.7478172302246,199.51066433019258,0.0022410733666243287,0.02231433019254404
2,86799,200,0.6483442354865085,0.7937605624846066,497.91694487833337,395.1892781575521,200.1625124529845,0.0022560854533451476,0.02276245298446443
3,42653,200,0.6417585784313726,0.7930096768513586,498.100054575,394.963143157959,199.84196944444443,0.002231361092501868,0.022519444444444443
4,82842,200,0.6503516318448723,0.7937804481554533,497.0516537666667,394.5253557840983,199.7262268851563,0.0020578670910715953,0.02029355182302335
5,72958,200,0.6452507676560901,0.7950067784336163,498.01466763,395.89244817097983,200.04925618560216,0.0022293120683254484,0.02238951893551689
6,23256,200,0.6490655793408088,0.793578418443409,498.12924045,395.2738548278809,200.3942940509684,0.002239630681863588,0.02242738430173293
7,14590,200,0.6464544089544091,0.7940169833419742,497.15210268583337,394.71648661295575,199.4721971416872,0.0022092151981364058,0.02204714168714169
8,98472,200,0.6482264433551199,0.793245568461515,498.18034372500006,395.1631982803345,199.31411795751634,0.0022295517295973896,0.022184624183006537
9,8288,200,0.6434739572667075,0.7936534539697553,497.13617172500005,394.4972053527832,200.61958580858763,0.00218405344155333,0.02176914192095024
10,42653,200,0.6417585784313726,0.7930096768513586,498.100054575,394.963143157959,199.84196944444443,0.002231361092501868,0.022519444444444443
11,42653,205,0.640662445533769,0.7932703190515916,498.161948125,395.1686594645182,204.84155292483658,0.002212059457458441,0.022102924836601305
12,42653,210,0.6185661764705882,0.792518886794228,498.16252349166666,394.7759938557943,209.84169508169933,0.0022079329454182213,0.022245081699346407
13,42653,215,0.6145424836601308,0.7901943453732533,498.17991624166666,393.629438273112,214.84014249999998,0.002097022905187961,0.0206925
14,42653,220,0.6048747276688453,0.7914204011133968,498.26192582499993,394.2852343241374,219.84198990196077,0.0022352660535852214,0.022539901960784314
15,42653,225,0.5862813180827887,0.7895148203335488,498.2660277416666,393.3565058390299,224.84151098039214,0.002166111099692485,0.022060980392156863
16,42653,230,0.5792041122004358,0.7907880295797654,498.246606075,393.97813466389977,229.84107411764705,0.00213343220265289,0.021624117647058825
17,42653,235,0.582046568627451,0.7881152373960348,498.2613727416666,392.65917752583823,234.8402226143791,0.0020668097258448054,0.020772614379084967
18,42653,240,0.5907475490196079,0.7818313949916784,498.2354488083334,389.50063451131183,239.84093429738562,0.002090531774996601,0.021484297385620917
19,42653,245,0.5565972222222222,0.7873321532611016,498.22044315833335,392.22147903442385,244.8392552124183,0.001970083128386327,0.019805212418300654
