Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.12413920894818406,0.8146769889431923,236.90135623416668,192.41243794759114,199.19766424903983,0.001225387179277436,0.010864249039822114
1,56629,200,0.12196080415570396,0.8159936884650543,236.57803059916665,192.37165247599285,199.49927714835056,0.0012336027418580365,0.010927148350536329
2,86799,200,0.12068675023588084,0.8123814802178191,237.32790321166667,192.34191970825196,200.15088972503034,0.0012476795649871291,0.011139725030327539
3,42653,200,0.12122406359471842,0.8137782370959382,237.30030457499998,192.39691340128581,199.83045102667742,0.0012335741971674936,0.011001026677445432
4,82842,200,0.12474870134250826,0.8146161309636493,236.99424543333333,192.32446772257487,199.71586812386153,0.0011212744284777225,0.00993479052823315
5,72958,200,0.12150733434496712,0.8173167351050814,236.35528429666667,192.41034851074218,200.03782771876578,0.0012291252820494536,0.010961052099140112
6,23256,200,0.12107016658253406,0.8156355389057109,236.94274878333331,192.38864313761394,200.3828358256773,0.0012375954338510993,0.010969159010600705
7,14590,200,0.12122116552003238,0.8171606106294538,236.48082768583333,192.47815526326497,199.46090210845816,0.0012159653146560391,0.010752108458114123
8,98472,200,0.12429095931015899,0.8118423929460491,237.64327705833333,192.40883553822835,199.30279490972782,0.0012283907790833493,0.01086157639450283
9,8288,200,0.1228169584134372,0.8171130081633794,236.62825505833334,192.47911529541017,200.60844092245947,0.0012001381023375405,0.010624255792775473
10,42653,200,0.12122406359471842,0.8137782370959382,237.30030457499998,192.39691340128581,199.83045102667742,0.0012335741971674936,0.011001026677445432
11,42653,205,0.12172089733225545,0.8127607036111804,237.36300645833336,192.40683975219727,204.83030528698464,0.0012181628136808268,0.010855286984640259
12,42653,210,0.11919293990838047,0.8115115506140562,237.881431825,192.44256515502929,209.83035978981405,0.0012180139038362387,0.01090978981406629
13,42653,215,0.118915049851792,0.8084931033222541,238.49800790833334,192.34891459147136,214.82961473726758,0.0011459085770733053,0.010164737267582862
14,42653,220,0.11444859876044194,0.8138264528229774,237.4391924916667,192.54199244181316,219.83048827000806,0.0012352094573143835,0.011038270008084076
15,42653,225,0.1113395984909728,0.8097057250515631,238.39961940833334,192.40039342244467,224.83024045270815,0.0011958041158015842,0.010790452708164915
16,42653,230,0.11246968472109943,0.8093103383248942,238.56434774166664,192.45019760131837,229.83003717865805,0.0011745766375534288,0.010587178658043653
17,42653,235,0.1113480194017785,0.8097120769100504,238.58655607499998,192.5483331044515,234.82961026677444,0.0011325858191689772,0.010160266774454325
18,42653,240,0.1133673538129884,0.8072024045833456,239.59874880833334,192.6450345357259,239.82989206952303,0.001153100156751897,0.010442069523039612
19,42653,245,0.1073379816760981,0.8076002371501825,239.205234825,192.49095102945964,244.82914634599837,0.0010745601738754943,0.009696345998383185
