Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput,Effective Delay
0,69713,198,0.3952833401443945,0.8489015863278008,199.29927914997958
1,56629,198,0.3869827939369111,0.8488280820253816,199.6012578574355
2,86799,198,0.38627350776778413,0.8483691764365501,200.25189650858547
3,42653,198,0.39209558823529406,0.8485528027894474,199.93108921568626
4,82842,198,0.38970708725931996,0.8486863408945722,199.81759127679908
5,72958,198,0.3940088706925964,0.8488826068088827,200.13851248857043
6,23256,198,0.3851851851851852,0.8488785070908568,200.48471942915393
7,14590,198,0.39308626808626806,0.8487605720778798,199.5627716543817
8,98472,198,0.3918504901960784,0.848714735310541,199.40440892156863
9,8288,198,0.39091746876919925,0.8488296806332586,200.70961143217968
10,42653,198ms,0.39209558823529406,0.8485528027894474,199.93108921568626
11,42653,203ms,0.3829997276688453,0.8490336258917761,204.93105697712417
12,42653,208ms,0.38031726579520697,0.8488031737221374,209.92904529411763
13,42653,213ms,0.37147331154684093,0.8485683930937206,214.928730996732
14,42653,218ms,0.3659041394335512,0.8488274408321784,219.92810522875817
15,42653,223ms,0.35581427015250544,0.8480699199786501,224.92730395424834
16,42653,228ms,0.35097358387799565,0.8485341798689169,229.92596230392155
17,42653,233ms,0.3461635348583878,0.8487293957190143,234.92654183006536
18,42653,238ms,0.3490400326797386,0.8487647958543139,239.92355197712416
19,42653,243ms,0.33367715141612203,0.848886820894074,244.92410699346405
