Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.3952833401443945,0.8095756400373463,498.20424790083337,403.2965840657552,199.29935914997958,0.0013695450670339014,0.11255914997956681
1,56629,200,0.3869827939369111,0.809505540871984,497.0436555991666,402.22216567993166,199.6013378574355,0.0013421507015544559,0.11298785743547728
2,86799,200,0.38627350776778413,0.8090678943982602,497.821186545,402.6736015319824,200.25197650858547,0.0013677492825769995,0.11222650858544563
3,42653,200,0.39209558823529406,0.8092430141348338,498.1749212416666,403.0711939493815,199.93116921568625,0.0013943336987312714,0.1117192156862745
4,82842,200,0.38970708725931996,0.8093703659959526,497.0347787666667,402.20659662882485,199.81767127679908,0.0014026831166227827,0.1117379434657927
5,72958,200,0.3940088706925964,0.8095575397576165,497.97281763000007,403.07162653605144,200.13859248857042,0.0014007143885414746,0.1117258219037871
6,23256,200,0.3851851851851852,0.8095536299618307,498.1042737833333,403.01923828125,200.48479942915392,0.0013515018561199613,0.11293276248725789
7,14590,200,0.39308626808626806,0.8094411583689495,497.1470776858333,402.38865254720054,199.5628516543817,0.0013598563002933362,0.11270165438165439
8,98472,200,0.3918504901960784,0.8093974450211915,498.1117103916667,403.12716649373374,199.40448892156863,0.0013680478864186963,0.11255558823529413
9,8288,200,0.39091746876919925,0.8095070654232586,497.13830505833334,402.3614227294922,200.70969143217968,0.001387793169569244,0.11187476551300429
10,42653,200,0.39209558823529406,0.8092430141348338,498.1749212416666,403.0711939493815,199.93116921568625,0.0013943336987312714,0.1117192156862745
11,42653,205,0.3829997276688453,0.8097015627782592,498.16810645833334,403.25388209025067,204.93113697712417,0.001409020130404717,0.11168697712418302
12,42653,210,0.38031726579520697,0.8094817864629149,498.172406825,403.2034548441569,209.92912529411763,0.001495840163475573,0.10967529411764707
13,42653,215,0.37147331154684093,0.809257882207604,498.1708912416667,403.07326990763346,214.928810996732,0.0015193385336470635,0.10936099673202614
14,42653,220,0.3659041394335512,0.8095049293824943,498.202875825,403.14662806193036,219.92818522875817,0.0015552182622025688,0.10873522875816995
15,42653,225,0.35581427015250544,0.8087825012003421,498.1582944083333,402.8347124735514,224.92738395424834,0.0016032878209652425,0.107933954248366
16,42653,230,0.35097358387799565,0.8092252539338273,498.151431075,403.00948232014974,229.92604230392155,0.0016664335956723358,0.10659230392156861
17,42653,235,0.3461635348583878,0.8094114262762209,498.21061440833336,403.0995704650879,234.92662183006536,0.0016355520195266851,0.10717183006535948
18,42653,240,0.3490400326797386,0.8094451864760536,498.19944880833333,403.11878306070963,239.92363197712416,0.0017884512150452372,0.104181977124183
19,42653,245,0.33367715141612203,0.8095615586224306,498.0407514916667,402.9549624125163,244.92418699346405,0.00176655815043787,0.10473699346405228
