Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.08366518428677312,0.8233755340296114,234.59537290083335,192.61028772989908,199.21153392359005,0.0024825182701725718,0.02473392359005458
1,56629,200,0.08469439384739931,0.822541782156522,234.7579889325,192.60583063761393,199.51267276867034,0.0024181167421423165,0.024322768670309657
2,86799,200,0.08083805095026284,0.8219254736213112,234.8763198783333,192.51317774454753,200.164669716943,0.002477847584554045,0.024919716942984227
3,42653,200,0.08456615467528968,0.82056028622593,235.116304575,192.48510564168294,199.84411646725948,0.0024434876771722487,0.024666467259498785
4,82842,200,0.08362342305876004,0.8238127314625032,234.44562043333335,192.548659769694,199.72969241853872,0.0023435409031098303,0.023759085205424003
5,72958,200,0.08478839993255774,0.8231221149071462,234.65870096333336,192.5847412109375,200.05096087000504,0.0023770139564443654,0.024094203338391504
6,23256,200,0.08310449268046442,0.823157104687032,234.69434044999997,192.57800114949544,200.39630457883226,0.0024358249821327354,0.024437912165572943
7,14590,200,0.08522696614056388,0.8240381854881619,234.4985443525,192.62082290649414,199.4742255645488,0.002411969022819809,0.024075564548765683
8,98472,200,0.08540824575586095,0.8209043600665529,235.1508270583333,192.59290364583333,199.3166159687416,0.0024408533958033304,0.024682635408245755
9,8288,200,0.08335525650106244,0.8245284517010159,234.42604672500002,192.6232442220052,200.62206050355832,0.0024013607743505264,0.024243836891632096
10,42653,200,0.08456615467528968,0.82056028622593,235.116304575,192.48510564168294,199.84411646725948,0.0024434876771722487,0.024666467259498785
11,42653,205,0.0838587981676098,0.8215112635568396,235.05570645833333,192.58489939371745,204.8439038803557,0.002424709348483773,0.02445388035569927
12,42653,210,0.08158515225006736,0.8238591756667595,234.52973182500003,192.60911204020184,209.84319768795473,0.002345748087702258,0.023747687954729185
13,42653,215,0.08003738884397738,0.8245279348894653,234.32892457500003,192.61126607259115,214.84282754244137,0.002308310614817435,0.02337754244139046
14,42653,220,0.08063358932902184,0.824257644463162,234.53343415833334,192.7040896097819,219.8426394907033,0.002269762371688994,0.023189490703314473
15,42653,225,0.0763540824575586,0.8231091828054914,234.89643607500003,192.65178960164388,224.84248830234438,0.0022821392617906828,0.02303830234438157
16,42653,230,0.0764332390191323,0.8215161144201691,235.19909774166666,192.6911178588867,229.84265104284557,0.0022790554239732206,0.02320104284559418
17,42653,235,0.07758690379951497,0.8238594459867287,234.78618940833334,192.82234420776368,234.84207317704121,0.002217468185217755,0.02262317704122878
18,42653,240,0.07801805443276745,0.823059059573667,235.09526547500002,192.8801717122396,239.84221685529505,0.002232042199730991,0.02276685529506871
19,42653,245,0.07060260037725681,0.8244475427539277,234.68590149166667,192.78067830403646,244.84239853678253,0.0022679630026287223,0.0229485367825384
